308.850, 129.492, 4.288,  4.379 False
308.707, 129.492, 4.319,  4.412 False
308.562, 129.492, 4.351,  4.445 False
308.416, 129.492, 4.383,  4.478 False
308.269, 129.492, 4.414,  4.511 False
308.121, 129.492, 4.445,  4.544 False
307.972, 129.492, 4.476,  4.577 False
307.822, 129.492, 4.507,  4.610 False
307.671, 129.492, 4.538,  4.643 False
307.519, 129.492, 4.569,  4.676 False
307.366, 129.492, 4.600,  4.709 False
307.212, 129.492, 4.631,  4.742 False
307.057, 129.492, 4.662,  4.775 False
306.901, 129.492, 4.692,  4.808 False
306.744, 129.493, 4.723,  4.841 False
306.586, 129.497, 4.744,  4.874 False
306.427, 129.504, 4.771,  4.907 False
306.267, 129.511, 4.805,  4.940 False
306.106, 129.520, 4.839,  4.973 False
305.944, 129.530, 4.872,  5.006 False
305.781, 129.540, 4.904,  5.039 False
305.618, 129.553, 4.933,  5.072 False
305.453, 129.565, 4.966,  5.105 False
305.287, 129.580, 4.996,  5.138 False
305.120, 129.594, 5.029,  5.171 False
304.952, 129.611, 5.060,  5.204 False
304.784, 129.628, 5.092,  5.237 False
304.614, 129.646, 5.121,  5.270 False
304.444, 129.665, 5.151,  5.303 False
304.273, 129.686, 5.170,  5.336 False
304.101, 129.706, 5.183,  5.369 False
303.930, 129.729, 5.187,  5.402 False
303.759, 129.752, 5.187,  5.435 False
303.587, 129.774, 5.195,  5.468 False
303.415, 129.796, 5.209,  5.501 False
303.243, 129.820, 5.231,  5.534 False
303.069, 129.844, 5.259,  5.567 False
302.895, 129.868, 5.292,  5.600 False
302.719, 129.894, 5.329,  5.633 False
302.542, 129.920, 5.370,  5.666 False
302.364, 129.944, 5.412,  5.699 False
302.184, 129.970, 5.453,  5.732 False
302.003, 129.997, 5.494,  5.765 False
301.821, 130.024, 5.535,  5.798 False
301.637, 130.052, 5.575,  5.831 False
301.453, 130.082, 5.614,  5.864 False
301.267, 130.113, 5.653,  5.897 False
301.080, 130.145, 5.692,  5.930 False
300.893, 130.178, 5.730,  5.963 False
300.704, 130.212, 5.767,  5.996 False
300.514, 130.247, 5.802,  6.029 False
300.322, 130.282, 5.841,  6.062 False
300.130, 130.316, 5.877,  6.095 False
299.936, 130.351, 5.912,  6.128 False
299.741, 130.385, 5.946,  6.161 False
299.545, 130.421, 5.979,  6.194 False
299.348, 130.456, 6.013,  6.227 False
299.150, 130.491, 6.047,  6.260 False
298.951, 130.527, 6.080,  6.293 False
298.751, 130.563, 6.114,  6.326 False
298.550, 130.600, 6.146,  6.359 False
298.347, 130.638, 6.179,  6.392 False
298.144, 130.675, 6.212,  6.425 False
297.940, 130.713, 6.245,  6.458 False
297.734, 130.751, 6.277,  6.491 False
297.528, 130.790, 6.309,  6.524 False
297.320, 130.830, 6.340,  6.557 False
297.112, 130.869, 6.373,  6.590 False
296.902, 130.909, 6.404,  6.623 False
296.692, 130.948, 6.436,  6.656 False
296.480, 130.988, 6.467,  6.689 False
296.268, 131.028, 6.499,  6.722 False
296.054, 131.069, 6.530,  6.755 False
295.839, 131.109, 6.561,  6.788 False
295.624, 131.150, 6.592,  6.821 False
295.407, 131.191, 6.623,  6.854 False
295.189, 131.232, 6.654,  6.887 False
294.971, 131.274, 6.686,  6.920 False
294.751, 131.316, 6.716,  6.953 False
294.530, 131.358, 6.747,  6.986 False
294.309, 131.400, 6.777,  7.019 False
294.086, 131.442, 6.808,  7.052 False
293.862, 131.485, 6.837,  7.085 False
293.638, 131.527, 6.868,  7.118 False
293.412, 131.570, 6.898,  7.151 False
293.185, 131.613, 6.928,  7.184 False
292.958, 131.656, 6.957,  7.217 False
292.729, 131.699, 6.986,  7.250 False
292.500, 131.743, 7.015,  7.283 False
292.269, 131.786, 7.045,  7.316 False
292.038, 131.830, 7.074,  7.349 False
291.805, 131.873, 7.104,  7.382 False
291.572, 131.917, 7.132,  7.415 False
291.337, 131.961, 7.162,  7.448 False
291.102, 132.005, 7.190,  7.481 False
290.866, 132.048, 7.219,  7.514 False
290.628, 132.089, 7.248,  7.547 False
290.389, 132.131, 7.278,  7.580 False
290.149, 132.172, 7.307,  7.613 False
289.908, 132.212, 7.337,  7.646 False
289.666, 132.252, 7.366,  7.679 False
289.423, 132.292, 7.396,  7.712 False
289.179, 132.331, 7.424,  7.745 False
288.934, 132.369, 7.454,  7.778 False
288.688, 132.407, 7.482,  7.811 False
288.440, 132.444, 7.512,  7.844 False
288.192, 132.481, 7.540,  7.877 False
287.942, 132.516, 7.568,  7.910 False
287.692, 132.550, 7.597,  7.943 False
287.440, 132.583, 7.625,  7.976 False
287.187, 132.616, 7.654,  8.009 False
286.933, 132.646, 7.681,  8.042 False
286.678, 132.675, 7.709,  8.075 False
286.422, 132.702, 7.738,  8.108 False
286.164, 132.728, 7.767,  8.141 False
285.906, 132.752, 7.796,  8.174 False
285.646, 132.774, 7.822,  8.207 False
285.386, 132.794, 7.852,  8.240 False
285.124, 132.813, 7.882,  8.273 False
284.861, 132.831, 7.914,  8.306 False
284.597, 132.849, 7.944,  8.339 False
284.332, 132.866, 7.973,  8.372 False
284.066, 132.881, 8.002,  8.405 False
283.799, 132.895, 8.031,  8.438 False
283.531, 132.908, 8.059,  8.471 False
283.262, 132.919, 8.088,  8.504 False
282.992, 132.928, 8.116,  8.537 False
282.721, 132.936, 8.146,  8.570 False
282.449, 132.942, 8.174,  8.603 False
282.175, 132.946, 8.204,  8.636 False
281.901, 132.949, 8.229,  8.669 False
281.627, 132.951, 8.252,  8.702 False
281.351, 132.953, 8.270,  8.735 False
281.075, 132.954, 8.282,  8.768 False
280.799, 132.953, 8.293,  8.801 False
280.523, 132.951, 8.302,  8.834 False
280.246, 132.948, 8.309,  8.867 False
279.969, 132.943, 8.315,  8.900 False
279.692, 132.937, 8.320,  8.933 False
279.415, 132.929, 8.324,  8.966 False
279.138, 132.920, 8.328,  8.999 False
278.860, 132.910, 8.332,  9.032 False
278.583, 132.899, 8.334,  9.065 False
278.305, 132.887, 8.338,  9.098 False
278.028, 132.874, 8.340,  9.131 False
277.750, 132.861, 8.342,  9.164 False
277.473, 132.846, 8.344,  9.197 False
277.195, 132.831, 8.345,  9.230 False
276.918, 132.813, 8.345,  9.263 False
276.640, 132.795, 8.346,  9.296 False
276.363, 132.776, 8.347,  9.329 False
276.085, 132.756, 8.348,  9.362 False
275.808, 132.735, 8.349,  9.395 False
275.530, 132.713, 8.350,  9.428 False
275.253, 132.692, 8.351,  9.461 False
274.975, 132.670, 8.351,  9.494 False
274.698, 132.646, 8.351,  9.527 False
274.421, 132.622, 8.351,  9.560 False
274.144, 132.598, 8.351,  9.593 False
273.866, 132.573, 8.351,  9.626 False
273.589, 132.546, 8.351,  9.659 False
273.312, 132.519, 8.351,  9.692 False
273.035, 132.491, 8.351,  9.725 False
272.758, 132.463, 8.351,  9.758 False
272.482, 132.434, 8.351,  9.791 False
272.205, 132.405, 8.352,  9.824 False
271.928, 132.376, 8.352,  9.857 False
271.651, 132.346, 8.351,  9.890 False
271.374, 132.316, 8.351,  9.923 False
271.098, 132.286, 8.351,  9.956 False
270.821, 132.256, 8.351,  9.989 False
270.544, 132.224, 8.350, 10.022 False
270.268, 132.193, 8.350, 10.055 False
269.992, 132.161, 8.350, 10.088 False
269.715, 132.128, 8.350, 10.121 False
269.439, 132.095, 8.349, 10.154 False
269.162, 132.062, 8.349, 10.187 False
268.886, 132.029, 8.349, 10.220 False
268.610, 131.996, 8.349, 10.253 False
268.334, 131.962, 8.348, 10.286 False
268.057, 131.928, 8.348, 10.319 False
267.781, 131.894, 8.348, 10.352 False
267.505, 131.861, 8.348, 10.385 False
267.229, 131.827, 8.348, 10.418 False
266.953, 131.793, 8.347, 10.451 False
266.676, 131.759, 8.347, 10.484 False
266.400, 131.725, 8.347, 10.517 False
266.124, 131.690, 8.346, 10.550 False
265.848, 131.656, 8.346, 10.583 False
265.572, 131.621, 8.346, 10.616 False
265.296, 131.587, 8.346, 10.649 False
265.020, 131.553, 8.345, 10.682 False
264.744, 131.518, 8.345, 10.715 False
264.468, 131.484, 8.345, 10.748 False
264.192, 131.449, 8.345, 10.781 False
263.916, 131.415, 8.344, 10.814 False
263.640, 131.380, 8.344, 10.847 False
263.364, 131.346, 8.344, 10.880 False
263.088, 131.311, 8.344, 10.913 False
262.812, 131.277, 8.343, 10.946 False
262.536, 131.243, 8.343, 10.979 False
262.260, 131.208, 8.343, 11.012 False
261.984, 131.174, 8.343, 11.045 False
261.708, 131.140, 8.342, 11.078 False
261.432, 131.106, 8.342, 11.111 False
261.156, 131.072, 8.342, 11.144 False
260.880, 131.037, 8.342, 11.177 False
260.604, 131.003, 8.342, 11.210 False
260.328, 130.970, 8.341, 11.243 False
260.052, 130.936, 8.341, 11.276 False
259.776, 130.902, 8.341, 11.309 False
259.500, 130.868, 8.341, 11.342 False
259.224, 130.835, 8.341, 11.375 False
258.948, 130.801, 8.340, 11.408 False
258.672, 130.768, 8.340, 11.441 False
258.396, 130.734, 8.340, 11.474 False
258.120, 130.701, 8.340, 11.507 False
257.844, 130.668, 8.340, 11.540 False
257.568, 130.635, 8.340, 11.573 False
257.292, 130.603, 8.339, 11.606 False
257.016, 130.570, 8.339, 11.639 False
256.740, 130.538, 8.339, 11.672 False
256.464, 130.506, 8.339, 11.705 False
256.188, 130.474, 8.339, 11.738 False
255.912, 130.443, 8.339, 11.771 False
255.636, 130.411, 8.338, 11.804 False
255.359, 130.380, 8.338, 11.837 False
255.083, 130.348, 8.338, 11.870 False
254.807, 130.317, 8.338, 11.903 False
254.531, 130.287, 8.338, 11.936 False
254.255, 130.256, 8.338, 11.969 False
253.978, 130.226, 8.338, 12.002 False
253.702, 130.196, 8.338, 12.035 False
253.426, 130.165, 8.338, 12.068 False
253.149, 130.136, 8.337, 12.101 False
252.873, 130.106, 8.337, 12.134 False
252.597, 130.076, 8.337, 12.167 False
252.320, 130.047, 8.337, 12.200 False
252.044, 130.018, 8.337, 12.233 False
251.768, 129.988, 8.337, 12.266 False
251.491, 129.960, 8.337, 12.299 False
251.215, 129.931, 8.337, 12.332 False
250.938, 129.903, 8.337, 12.365 False
250.662, 129.875, 8.336, 12.398 False
250.386, 129.847, 8.336, 12.431 False
250.109, 129.819, 8.336, 12.464 False
249.832, 129.792, 8.336, 12.497 False
249.556, 129.765, 8.336, 12.530 False
249.279, 129.738, 8.336, 12.563 False
249.003, 129.711, 8.336, 12.596 False
248.726, 129.684, 8.336, 12.629 False
248.450, 129.658, 8.336, 12.662 False
248.173, 129.632, 8.336, 12.695 False
247.896, 129.606, 8.336, 12.728 False
247.620, 129.581, 8.335, 12.761 False
247.343, 129.556, 8.335, 12.794 False
247.066, 129.531, 8.335, 12.827 False
246.789, 129.507, 8.335, 12.860 False
246.513, 129.483, 8.335, 12.893 False
246.236, 129.459, 8.335, 12.926 False
245.959, 129.435, 8.335, 12.959 False
245.682, 129.411, 8.335, 12.992 False
245.405, 129.388, 8.335, 13.025 False
245.128, 129.365, 8.335, 13.058 False
244.851, 129.342, 8.335, 13.091 False
244.574, 129.319, 8.335, 13.124 False
244.298, 129.298, 8.335, 13.157 False
244.021, 129.276, 8.335, 13.190 False
243.744, 129.255, 8.335, 13.223 False
243.467, 129.233, 8.335, 13.256 False
243.189, 129.212, 8.335, 13.289 False
242.912, 129.191, 8.335, 13.322 False
242.635, 129.170, 8.335, 13.355 False
242.358, 129.150, 8.335, 13.388 False
242.081, 129.130, 8.335, 13.421 False
241.804, 129.111, 8.334, 13.454 False
241.527, 129.091, 8.334, 13.487 False
241.250, 129.073, 8.334, 13.520 False
240.973, 129.055, 8.334, 13.553 False
240.695, 129.037, 8.334, 13.586 False
240.418, 129.019, 8.334, 13.619 False
240.141, 129.001, 8.334, 13.652 False
239.864, 128.984, 8.334, 13.685 False
239.586, 128.966, 8.334, 13.718 False
239.309, 128.949, 8.334, 13.751 False
239.032, 128.932, 8.334, 13.784 False
238.754, 128.916, 8.334, 13.817 False
238.477, 128.900, 8.334, 13.850 False
238.200, 128.884, 8.334, 13.883 False
237.922, 128.869, 8.334, 13.916 False
237.645, 128.854, 8.334, 13.949 False
237.367, 128.839, 8.334, 13.982 False
237.090, 128.824, 8.334, 14.015 False
236.813, 128.810, 8.334, 14.048 False
236.535, 128.796, 8.334, 14.081 False
236.258, 128.782, 8.334, 14.114 False
235.980, 128.768, 8.334, 14.147 False
235.703, 128.755, 8.334, 14.180 False
235.425, 128.742, 8.334, 14.213 False
235.148, 128.729, 8.334, 14.246 False
234.870, 128.717, 8.334, 14.279 False
234.593, 128.705, 8.334, 14.312 False
234.315, 128.694, 8.334, 14.345 False
234.038, 128.682, 8.334, 14.378 False
233.760, 128.671, 8.334, 14.411 False
233.482, 128.660, 8.334, 14.444 False
